item,name,location,country,countryLabel
http://www.wikidata.org/entity/Q4318649,N. A. Dobrolyubova State Linguistic University of Nizhny Novgorod,Point(44.02833333 56.32472222),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4303894,Московське академічне училище Мінкультури СРСР,Point(37.5809 55.7217),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4303894,Московський державний хореографічний інститут,Point(37.5809 55.7217),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4315123,Харківське пожежно-технічне училище,Point(36.248865 50.011319),http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q4303894,Moskva Dövlət Xareoqrafiya Akademiyası,Point(37.5809 55.7217),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4248858,Курскі педагагічны інстытут,Point(36.190567 51.735314),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4163246,"Дніпропетровська академія управління, бізнесу та права",Point(35.0427 48.472),http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q4398135,Российский университет кооперации,Point(37.72732 55.89317),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4315123,Харьковское пожарно-техническое училище МВД СССР,Point(36.24808 50.01125),http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q4304099,Маскоўскі дзяржаўны ўніверсітэт лесу,Point(37.7911 55.9275),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4304099,Маскоўскі лесатэхнічны інстытут,Point(37.7911 55.9275),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4304099,Мыцішчынскі філіял МДТУ імя Н. Э. Баўмана,Point(37.7911 55.9275),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4412445,Северо-Восточный государственный университет,Point(150.793512 59.563905),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4304073,Маскоўскі дзяржаўны завочны педагагічны інстытут,Point(37.6511 55.7435),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4318649,Горьковский педагогический институт иностранных языков,Point(44.02833333 56.32472222),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4318649,Нижегородский государственный лингвистический университет им. Н.А. Добролюбова,Point(44.02833333 56.32472222),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4418285,Сібірскі металургічны інстытут,Point(87.116666666 53.75),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4398063,Маскоўскі геолагаразведачны інстытут,Point(37.5135 55.65),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4371750,Поморский государственный университет им. М. В. Ломоносова,Point(40.5649 64.5306),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4304299,Маскоўскі інстытут інжынераў сувязі,Point(37.71194 55.75528),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4407667,2-і Ленінградскі медыцынскі інстытут,Point(30.4374 59.9827),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4407667,2-і Ленінградскі медыцынскі інстытут,Point(30.3732 59.9432),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4315056,Національний педагогічний університет імені Михайла Драгоманова,Point(30.50694444 50.44472222),http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q4476708,Свярдлоўскі медыцынскі інстытут,Point(60.5763 56.833),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4476708,Уральская дзяржаўная медыцынская акадэмія,Point(60.5763 56.833),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4476708,Уральскі дзяржаўны медыцынскі ўніверсітэт,Point(60.5763 56.833),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4398496,Ростовский институт инженеров железнодорожного транспорта,Point(39.69833334 47.25083334),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4336193,Ырымбур дәүләт педагогия университеты,Point(55.1028 51.76),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4476708,Свярдлоўскі медыцынскі інстытут,Point(60.576465 56.832803),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4476708,Уральская дзяржаўная медыцынская акадэмія,Point(60.576465 56.832803),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4476708,Уральскі дзяржаўны медыцынскі ўніверсітэт,Point(60.576465 56.832803),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4513545,Черниговский государственный педагогический университет им. Т. Г. Шевченко,Point(31.31555556 51.50027778),http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q4513545,Черниговский институт народного образования,Point(31.31555556 51.50027778),http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q4513545,Черниговский институт социального образования,Point(31.31555556 51.50027778),http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q4513545,Черниговский педагогический институт,Point(31.31555556 51.50027778),http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q4513545,Черниговский учительский и педагогический институт,Point(31.31555556 51.50027778),http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q4513545,Черниговский учительский институт,Point(31.31555556 51.50027778),http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q4513545,Чернігівський педагогічний інститут,Point(31.31555556 51.50027778),http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q4682076,Adelphi College,Point(-73.6517 40.7202),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q4336193,Ырымбур дәүләт педагогия университеты,Point(55.1028 51.76),http://www.wikidata.org/entity/Q15180,Soviet Union
http://www.wikidata.org/entity/Q4469637,Ужгородский национальный университет,Point(22.2902 48.6357),http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q4182332,Чыцінскі дзяржаўны педагагічны інстытут,Point(113.499657 52.039299),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4182332,Чыцінскі дзяржаўны педагагічны інстытут імя М. Г. Чарнышэўскага,Point(113.499657 52.039299),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4408455,Саратаўскі медыцынскі інстытут,Point(46.0078 51.5383),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4407667,2-й Ленинградский медицинский институт,Point(30.4374 59.9827),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4407667,Государственный институт медицинских знаний,Point(30.4374 59.9827),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4407667,Ленинградский санитарно-гигиенический медицинский институт,Point(30.4374 59.9827),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4407667,медицинский факультет 2-го Петроградского университета,Point(30.4374 59.9827),http://www.wikidata.org/entity/Q159,Russia
