item,name,location,country,countryLabel
http://www.wikidata.org/entity/Q489331,숭전대학교,Point(126.95627 37.496295),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q108365777,Kwararafa University Wukari,Point(9.778722292 7.87803342),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q107477090,Al-Qalam University,Point(7.601555003 12.941773579),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q107826273,"KolaDaisi University Ibadan, Oyo State",Point(3.9112534 7.6252312),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q4688832,Afe Babalola University,Point(5.307051 7.670929),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q7969745,Warner Pacific College,Point(-122.593 45.506),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7969745,Warner Pacific University,Point(-122.593 45.506),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q1887921,University of Notre Dame Australia,Point(115.743380825 -32.055917859),http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q3510835,American University of Nigeria,Point(12.499648 9.191132),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q939801,Università degli Studi Internazionali di Roma - UNINT,Point(12.4963 41.8602),http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q5035867,Capitol Technology University,Point(-76.8515 39.0475),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q4699675,Ajayi Crowther University,Point(3.948523523 7.849847746),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q616591,Oberlin College,Point(-82.221666666 41.293055555),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q15927225,西安外事学院,Point(108.86883 34.23381),http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q56143,조선대학교,Point(126.933055555 35.142222222),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q7987775,Western Delta University Oghara,Point(5.6888094 5.9981127),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q4822444,İzmir Ekonomi Üniversitesi,Point(27.044722222 38.388333333),http://www.wikidata.org/entity/Q43,Turkey
http://www.wikidata.org/entity/Q107476085,Afe Babalola University.,Point(5.301683844 7.601096948),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q4699675,Ajayi Crowther University,Point(3.948523523 7.849847746),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q1760244,燕京大學,Point(116.305277777 39.989722222),http://www.wikidata.org/entity/Q13426199,Republic of China
http://www.wikidata.org/entity/Q12582630,감리교신학대학교,Point(126.962417 37.567361),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q7970913,SWPS Uniwersytet Humanistycznospołeczny,Point(21.065888888 52.248416666),http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q7984021,Wesley University of Science and Technology,Point(4.816735598 7.108442038),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q1122851,Libera Università Internazionale degli Studi Sociali Guido Carli,Point(12.493056 41.924444),http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q482735,숙명여자대학교,Point(126.964649 37.545419),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q489331,숭실대학,Point(126.95627 37.496295),http://www.wikidata.org/entity/Q28233,Korean Empire
http://www.wikidata.org/entity/Q178848,University of Notre Dame du Lac,Point(-86.238888888 41.7),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q49115,Cornell University,Point(-76.483055555 42.447222222),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q707140,中國文化大學,Point(121.53333333 25.13333333),http://www.wikidata.org/entity/Q865,Taiwan
http://www.wikidata.org/entity/Q22080044,Ritman University,Point(7.699876 5.1971457),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q108491361,Maranatha university,Point(6.853125377 5.713057984),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q49210,New York University,Point(-73.995 40.73),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q20986814,Wszechnica Polska Szkoła Wyższa w Warszawie,Point(21.015 52.2714),http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q13371,Harvard University,Point(-71.116943888 42.374443888),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q39988,延世大學校,Point(126.936944444 37.560277777),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q469482,American University of Beirut,Point(35.482283333 33.899963888),http://www.wikidata.org/entity/Q822,Lebanon
http://www.wikidata.org/entity/Q13601184,Godfrey Okoye University,Point(7.53216 6.4719),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q41085,Sungkyunkwan University,Point(126.994166666 37.587222222),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q469482,Syrian Protestant College,Point(35.482283333 33.899963888),http://www.wikidata.org/entity/Q822,Lebanon
http://www.wikidata.org/entity/Q19881671,Adamas University,Point(88.456591 22.738303),http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q489331,숭실대학,Point(126.95627 37.496295),http://www.wikidata.org/entity/Q188712,Empire of Japan
http://www.wikidata.org/entity/Q12513081,Akademi Kebidanan 'Aisyiyah Yogyakarta,Point(110.3751963 -7.7690244),http://www.wikidata.org/entity/Q252,Indonesia
http://www.wikidata.org/entity/Q12513081,Akademi Keperawatan 'Aisyiyah Yogyakarta,Point(110.3751963 -7.7690244),http://www.wikidata.org/entity/Q252,Indonesia
http://www.wikidata.org/entity/Q16979436,Gregory University,Point(7.418922738 5.831556932),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q178848,L’Université de Notre Dame du Lac,Point(-86.238888888 41.7),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q842909,William Marsh Rice University,Point(-95.402777777 29.716944444),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q599316,New School,Point(-73.99704 40.73534),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q12513081,Sekolah Bidan 'Aisyiyah Rumah Sakit PKU Muhammadiyah Yogyakarta,Point(110.3751963 -7.7690244),http://www.wikidata.org/entity/Q252,Indonesia
http://www.wikidata.org/entity/Q12513081,Sekolah Perawat Bidan 'Aisyiyah Rumah Sakit PKU Muhammadiyah Yogyakarta,Point(110.3751963 -7.7690244),http://www.wikidata.org/entity/Q252,Indonesia
http://www.wikidata.org/entity/Q12513081,Sekolah Perawat Kesehatan 'Aisyiyah,Point(110.3751963 -7.7690244),http://www.wikidata.org/entity/Q252,Indonesia
http://www.wikidata.org/entity/Q12513081,Sekolah Tinggi Ilmu Kesehatan 'Aisyiyah Yogyakarta,Point(110.3751963 -7.7690244),http://www.wikidata.org/entity/Q252,Indonesia
http://www.wikidata.org/entity/Q28405158,Clifford university,Point(7.315058 5.295705),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q12513081,Universitas 'Aisyiyah Yogyakarta,Point(110.3751963 -7.7690244),http://www.wikidata.org/entity/Q252,Indonesia
http://www.wikidata.org/entity/Q5184436,Crescent University,Point(3.321250313 7.161464336),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q107723623,Nile university of Nigeria,Point(7.397239 9.014035),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q489331,숭실대학교,Point(126.95627 37.496295),http://www.wikidata.org/entity/Q28233,Korean Empire
http://www.wikidata.org/entity/Q489331,숭실전문학교,Point(126.95627 37.496295),http://www.wikidata.org/entity/Q28233,Korean Empire
http://www.wikidata.org/entity/Q489331,숭실학당,Point(126.95627 37.496295),http://www.wikidata.org/entity/Q28233,Korean Empire
http://www.wikidata.org/entity/Q489331,숭전대학교,Point(126.95627 37.496295),http://www.wikidata.org/entity/Q28233,Korean Empire
http://www.wikidata.org/entity/Q107870748,Fountain University,Point(4.546475694 7.743824059),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q1760244,燕京大學,Point(116.305277777 39.989722222),http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q39988,Yonsei University,Point(126.936944444 37.560277777),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q30294686,한국성서대학교,Point(127.064341 37.648991),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q5184436,Crescent University,Point(3.321250313 7.161464336),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q39997,고려대학교,Point(127.0325 37.589166666),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q56143,朝鮮大学校,Point(126.933055555 35.142222222),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q67035935,Banja Luka College - Fakultet za medije i komunikaciju,Point(17.188611111 44.761944444),http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina
http://www.wikidata.org/entity/Q22079853,Chrisland University,Point(3.40324 7.1397901),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q5322769,Bingham University,Point(7.700159807 8.956658261),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q3551578,University of Dallas,Point(-96.9258 32.8451),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q16119681,الجامعة الإسلامية في لبنان,Point(35.47493 33.78167),http://www.wikidata.org/entity/Q822,Lebanon
http://www.wikidata.org/entity/Q30599641,"University of Engineering & Management (UEM), Jaipur",Point(75.701416666 27.21325),http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q489331,숭실대학교,Point(126.95627 37.496295),http://www.wikidata.org/entity/Q188712,Empire of Japan
http://www.wikidata.org/entity/Q489331,숭실전문학교,Point(126.95627 37.496295),http://www.wikidata.org/entity/Q188712,Empire of Japan
http://www.wikidata.org/entity/Q489331,숭실학당,Point(126.95627 37.496295),http://www.wikidata.org/entity/Q188712,Empire of Japan
http://www.wikidata.org/entity/Q489331,숭전대학교,Point(126.95627 37.496295),http://www.wikidata.org/entity/Q188712,Empire of Japan
http://www.wikidata.org/entity/Q190080,Carnegie Mellon University,Point(-79.943333333 40.4425),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q16966577,Paul University,Point(7.066149276 6.199168536),http://www.wikidata.org/entity/Q1033,Nigeria
